Question ID,Attempts,Avg Score (%),Avg Confidence (%)
Q1,1,100.00%,100.00%
Q2,1,0.00%,50.00%
Q3,1,100.00%,100.00%
Q4,1,80.00%,82.00%
Q5,1,100.00%,98.00%
Q6,1,0.00%,45.00%
Q7,1,100.00%,99.00%
Q8,1,100.00%,100.00%
Q9,1,100.00%,95.00%
Q10,1,50.00%,70.00%
Q11,1,0.00%,30.00%
Q12,1,100.00%,97.00%
Q13,1,100.00%,100.00%
Q14,1,100.00%,100.00%
Q15,1,0.00%,50.00%
Q16,1,100.00%,96.00%
Q17,1,100.00%,99.00%
Q18,1,100.00%,95.00%
Q19,1,0.00%,10.00%
Q20,1,60.00%,65.00%
Q21,1,80.00%,88.00%
Q22,1,100.00%,99.00%
Q23,1,50.00%,55.00%
Q24,1,100.00%,100.00%
Q25,1,0.00%,50.00%
Q26,1,100.00%,100.00%
Q27,1,100.00%,100.00%
Q28,1,100.00%,98.00%
Q29,1,100.00%,99.00%
Q30,1,0.00%,60.00%
Q31,1,100.00%,97.00%
Q32,1,80.00%,85.00%
